question_id,answers,paragraph_id
111,['158.8 million'],14
112,['Shakira'],14
113,['Listen'],14
114,['Shakira'],14
115,['Jay Z'],15
116,"['November 18, 2008']",15
117,['Taylor Swift'],15
118,['119.5 million'],15
119,['in a video montage'],15
120,['Taylor Swift'],15
121,"['April 4, 2008']",15
122,['Jay Z.'],15
123,['Sasha Fierce'],15
124,['Kanye West'],15
125,['Etta James'],16
126,['Phoenix House'],16
127,['thriller'],16
128,['Phoenix House'],16
129,['Obsessed'],16
130,['Etta James'],16
131,['Phoenix House'],16
132,['Obsessed.'],16
133,['Lady Gaga'],17
134,['six'],17
135,['Mariah Carey'],17
136,['ten nominations'],17
137,['Lady Gaga'],17
138,['Mariah Carey'],17
139,['Lauryn Hill'],17
140,['Lauryn Hill'],17
141,['Lady Gaga'],17
142,['Mariah Carey'],17
143,['2010'],18
144,['2010'],18
145,['the Great Wall of China'],18
146,['2010'],18
147,['her mother'],18
148,['During the break'],18
149,['a hiatus'],18
150,['her mother'],18
151,['her father'],18
152,['nine months'],18
153,['2011'],19
154,['Clinton Bush Haiti Fund'],19
155,['The Huffington Post'],19
156,['documents obtained by WikiLeaks'],19
157,['The Huffington Post'],19
158,['Glastonbury Festival'],19
159,['Muammar Gaddafi.'],19
160,['WikiLeaks'],19
161,['Clinton Bush Haiti Fund.'],19
162,['Love on Top'],20
163,"[""New York's Roseland Ballroom""]",20
164,"['June 28, 2011']",20
165,"['310,000 copies']",20
166,['New York Association of Black Journalists'],20
167,['2011'],20
168,['4'],20
169,"['June 28, 2011']",20
170,['Essence'],20
171,"[""New York's Roseland Ballroom""]",20
172,['Lenox Hill Hospital'],21
173,"[""Revel Atlantic City's Ovation Hall""]",21
174,['Blue Ivy Carter'],21
175,['four nights'],21
176,"['January 7, 2012']",21
177,['Blue Ivy Carter'],21
178,['Lenox Hill Hospital in New York.'],21
179,"[""Revel Atlantic City's Ovation Hall""]",21
180,['romance'],22
181,['Life Is But a Dream'],22
182,['global publishing agreement'],22
183,['Nuclear'],22
184,['President Obama'],22
185,['January 2013'],22
186,['Nuclear'],22
187,['the American national anthem'],22
188,['Super Bowl XLVII halftime show'],22
189,['Life Is But a Dream'],22
190,['132'],23
191,['The Mrs. Carter Show'],23
192,['Rise Up'],23
193,['Epic'],23
194,['April 15'],23
195,['Queen Tara'],23
196,['132'],23
197,['Back to Black'],23
198,['the iTunes Store'],24
199,['the iTunes Store'],24
200,['Forbes'],24
201,['more than double her earnings'],24
202,"['December 13, 2013']",24
203,['Drunk in Love'],24
204,['On the Run Tour.'],24
205,['three'],25
206,['Vogue'],25
207,['three'],25
208,['Beck'],25
209,['six awards'],25
210,['Vogue'],25
211,['Coldplay'],25
212,['Vogue'],25
213,['Formation'],26
214,['exclusively'],26
215,['Tidal'],26
216,['music streaming'],26
217,"['February 6, 2016']",26
218,['Tidal'],26
219,['Paris'],27
220,['miscarriage'],27
221,"['April 4, 2008']",27
222,['300 million'],27
223,['wrote music'],27
224,"[""'03 Bonnie & Clyde""]",27
225,"['April 4, 2008']",27
226,['300 million'],27
227,['Paris.'],27
228,['MTV Video Music Awards'],28
229,['her pregnancy'],28
230,['2011 MTV Video Music Awards'],28
231,['Her appearance'],28
232,['most tweets per second'],28
233,['Love on Top'],28
234,['2011 MTV Video Music Awards'],28
235,['12.4 million'],28
236,['Glory'],29
237,['Blue Ivy Carter'],29
238,['Lenox Hill Hospital'],29
239,['Glory'],29
240,['Blue Ivy Carter'],29
241,['B.I.C.'],29
242,"['January 7, 2012']",29
243,['B.I.C.'],29
244,['George Zimmerman'],30
245,['America the Beautiful'],30
246,['4 million'],30
247,['same sex marriage'],30
248,['a rally'],30
249,['America the Beautiful'],30
250,['At Last'],30
251,['same sex marriage'],30
252,['Vogue'],31
253,['Ban Bossy campaign'],31
254,['April 2013'],31
255,['Ban Bossy'],31
256,['Flawless'],31
257,['leadership in girls'],31
258,['Chimamanda Ngozi Adichie'],31
259,['the ONE Campaign'],32
260,['September 2015'],32
261,['women'],32
262,['priorities'],32
263,['2015'],32
264,['Angela Merkel and Nkosazana Dlamini-Zuma'],32
265,['head of the G7 in Germany'],32
266,['the ONE Campaign'],32
267,['the head of the G7 in Germany'],32
268,['women'],32
269,['protesters'],33
270,['Freddie Gray'],33
271,['thousands of dollars'],33
272,['Madonna and Celine Dion'],34
273,['2014'],34
274,['250 million'],34
275,['2011'],34
276,['115 million'],34
277,['Forbes'],34
278,['MTV'],34
279,['four'],35
280,['Jody Rosen'],35
281,['The Daily Mail'],35
282,['hip hop'],35
283,['praise her range and power'],35
284,['four'],35
285,['Her vocal abilities'],35
286,['tart'],35
287,['the hip hop era'],35
288,['R&B'],36
289,"['pop, soul and funk']",36
290,['Spanish'],36
291,"[""re-release of B'Day""]",36
292,['Rudy Perez'],36
293,['English'],36
294,['Spanish'],36
295,['R&B'],36
296,['Spanish'],36
297,['Rudy Perez.'],36
298,"[""B'Day.""]",36
299,['beats'],37
300,['female-empowerment'],37
301,['co-producing credits'],37
302,['Women'],37
303,['co-producing'],37
304,['melodies and ideas'],37
305,['Diane Warren'],38
306,['Top 20 Hot 100 Songwriters'],38
307,['2001'],38
308,['Pop Songwriter of the Year award'],38
309,"['the American Society of Composers, Authors, and Publishers Pop Music Awards.']",38
310,['three'],38
311,['17'],38
312,['Michael Jackson'],39
313,['five'],39
314,['Michael Jackson'],39
315,['vocal runs'],39
316,['Michael Jackson'],39
317,['Vision of Love'],39
318,['Michael Jackson'],39
319,['Diana Ross'],39
320,['Whitney Houston'],39
321,['Vision of Love'],39
322,['Josephine Baker'],40
323,['Etta James'],40
324,['Dreamgirls'],40
325,['boldness'],40
326,['2006 Fashion Rocks concert'],40
327,['Josephine Baker.'],40
328,['Déjà Vu'],40
329,['Oprah Winfrey'],41
330,['Michelle Obama'],41
331,['lyrical and raw'],41
332,['to take control of her own career'],41
333,['continuing inspiration'],41
334,['First Lady Michelle Obama'],41
335,['Oprah Winfrey'],41
336,['Madonna'],41
337,['The Mamas'],42
338,['2006'],42
339,['Suga Mama'],42
340,['Suga Mama'],42
341,['Suga Mama'],42
342,['Suga Mama'],42
343,"[""B'Day""]",42
344,['The Mamas'],42
345,['stage presence and voice'],43
346,['L.A. Reid'],43
347,['stage presence'],43
348,"[""she's almost too good""]",43
349,['L.A. Reid'],43
350,['Sasha Fierce'],44
351,['2010'],44
352,['Revel Presents: Beyoncé Live'],44
353,"['too aggressive, too strong']",44
354,['she would bring her back'],44
355,['Sasha Fierce.'],44
356,['Allure magazine'],44
357,['wide-ranging'],45
358,['Bootylicious'],45
359,"[""Destiny's Child""]",45
360,['Bootylicious'],45
361,['2006'],45
362,['Touré'],45
363,['Bootylicious'],45
364,['sexily'],45
365,"[""Tom Ford's Spring/Summer 2011 fashion show""]",46
366,['People'],46
367,['January 2013'],46
368,['VH1'],46
369,['People'],46
370,['Complex'],46
371,['number 1'],46
372,['2010'],46
373,['Hottest Female Singer of All Time'],46
374,['Madame Tussauds Wax Museums'],46
375,['Her mother'],47
376,['2007'],47
377,['Tyra Banks'],47
378,['People'],47
379,['The Beyontourage'],48
380,['Twitter'],48
381,['Bey Hive'],48
382,['Beyontourage'],48
383,['House of Deréon'],49
384,"[""L'Officiel""]",49
385,['blackface and tribal makeup'],49
386,['2006'],49
387,['for wearing and using fur'],49
388,['in blackface and tribal makeup'],49
389,"[""L'Officiel""]",49
390,['House of Deréon.'],49
391,['French fashion magazine'],49
392,['Emmett Price'],50
393,"[""L'Oréal""]",50
394,['natural pictures be used'],50
395,['costuming'],50
396,['Emmett Price'],50
397,['Feria hair color advertisements'],50
398,['2013'],51
399,['Baz Luhrmann'],51
400,['Jody Rosen'],51
401,['The Guardian'],51
402,['Baz Luhrmann'],51
403,['2014'],51
404,['White Rabbits'],52
405,['Gwyneth Paltrow'],52
406,['work'],52
407,['White Rabbits'],52
408,['Milk Famous'],52
409,['Gwyneth Paltrow'],52
410,['Country Strong.'],52
411,['Nicki Minaj'],52
412,['two'],53
413,['8 million'],53
414,['July 2014'],53
415,['Crazy in Love'],53
416,['earned two Grammy Awards'],53
417,['around 8 million copies'],53
418,['Drake'],53
419,['Rolling Stone'],53
420,['a species of horse fly'],53
421,['118 million'],54
422,['64'],54
423,['Beyoncé'],54
424,['118 million'],54
425,['64 certifications'],54
426,['over 15 million'],54
427,['over 118 million'],54
428,['The Recording Industry Association of America'],54
429,['64'],54
430,['the 2008 World Music Awards'],54
431,['52'],55
432,['two'],55
433,['20 Grammy Awards'],55
434,['52 nominations'],55
435,['2010'],55
436,['20'],55
437,['Dreamgirls'],55
438,['Pepsi'],56
439,['50 million'],56
440,['The Center for Science in the Public Interest (CSPINET)'],56
441,['70'],56
442,['2002'],56
443,['endorse Pepsi'],56
444,['Center for Science in the Public Interest'],56
445,['Pepsi'],56
446,['$50 million'],56
447,['The Center for Science in the Public Interest (CSPINET)'],56
448,['Tommy Hilfiger'],57
449,['Beyoncé'],57
450,['Heat'],57
451,['2013'],57
452,['Heat'],57
453,['2011'],57
454,['Diamonds'],57
455,['six'],57
456,['18'],58
457,['Starpower: Beyoncé'],58
458,['since the age of 18'],58
459,['70 staff'],58
460,['out of court'],58
461,['Starpower: Beyoncé'],58
462,['Starpower: Beyoncé'],58
463,['GateFive'],58
464,['June 2013'],58
465,['Parkwood Topshop Athletic Ltd'],59
466,['Topshop'],59
467,['Topshop'],59
468,['London'],59
469,['activewear'],59
470,"['March 30, 2015']",60
471,['Jay Z'],60
472,"['March 30, 2015']",60
473,['music streaming service'],60
474,['low payout of royalties'],60
475,['Tidal.'],60
476,['her mother'],61
477,['Beyond Productions'],61
478,"['sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear']",61
479,['US and Canada'],61
480,['her mother'],61
481,"['grandmother, Agnèz Deréon']",61
482,"[""in Destiny's Child's shows and tours""]",61
483,['her mother'],61
484,['Deréon.'],61
485,['shoe'],62
486,['Brazil'],62
487,['2009'],62
488,['House of Deréon collection'],62
489,['House of Brands'],62
490,['Beyoncé Fashion Diva'],62
491,['Sasha Fierce for Deréon'],62
492,['C&A'],62
493,"[""Dillard's""]",62
494,['Topshop'],63
495,['autumn 2015'],63
496,['50'],63
497,['Topshop'],63
498,['Parkwood Topshop Athletic Ltd'],63
499,['activewear'],63
500,['Hurricane Katrina'],64
501,['Ike'],64
502,['the Survivor Foundation'],64
503,"['$250,000']",64
504,['expanded to work with other charities'],64
505,['Survivor Foundation'],64
506,"['$250,000.']",64
507,['Hurricane Ike'],64
508,['George Clooney and Wyclef Jean'],65
509,['$1 million'],65
510,"[""New York Police and Fire Widows' and Children's Benefit Fund""]",65
511,['Hope for Haiti Now: A Global Benefit'],65
512,['George Clooney and Wyclef Jean'],65
513,['Beyoncé Cosmetology Center'],65
514,['Sandy Hook Elementary School shooting'],66
515,['I Was Here'],66
516,['Miss a Meal'],66
517,['London'],66
518,['her mother'],66
519,['Sandy Hook Elementary School shooting.'],66
520,['spread female empowerment'],66
521,['Catapult'],66
522,['Sandy Hook Elementary School'],66
523,['Salma Hayek and Frida Giannini'],66
524,['Polish and French'],67
525,['Romantic era'],67
526,['solo piano'],67
527,['Duchy of Warsaw'],67
528,['1810'],67
529,['Romantic era'],67
530,['Warsaw'],67
531,['solo piano'],67
532,['20'],67
533,['17 October 1849'],67
534,['Fryderyk Franciszek Chopin'],67
535,['solo piano'],67
536,['Romantic era'],67
537,['20'],67
538,['Romantic'],67
539,['1849'],67
540,['21'],68
541,['1835'],68
542,['tuberculosis'],68
543,['30'],68
544,['Franz Liszt'],68
545,['1835'],68
546,['21'],68
547,['1835'],68
548,['1835'],68
549,['tuberculosis'],68
550,['piano'],69
551,['instrumental ballade'],69
552,"['J. S. Bach, Mozart and Schubert']",69
553,['nuance and sensitivity'],69
554,['instrumental ballade'],69
555,"['J. S. Bach, Mozart and Schubert']",69
556,['Polish'],69
557,['piano'],69
558,['Polish'],69
559,['Paris salons'],69
560,['indirect'],70
561,['his love life and his early death'],70
562,['Romantic era'],70
563,['films and biographies'],70
564,['France'],70
565,['Poland'],70
566,['France'],70
567,['political insurrection'],70
568,['Romantic era'],70
569,['Żelazowa Wola'],71
570,['1 March'],71
571,['Fridericus Franciscus'],71
572,['Żelazowa Wola'],71
573,['Napoleon'],71
574,['22 February 1810'],71
575,['1 March'],71
576,['Fridericus Franciscus'],71
577,['Napoleon'],71
578,['22 February 1810'],71
579,['Fridericus Franciscus'],71
580,['Żelazowa Wola'],71
581,['Napoleon'],71
582,['Justyna Krzyżanowska'],72
583,['Polish'],72
584,['Nicolas'],72
585,['Lorraine'],72
586,['Ludwika'],72
587,['October 1810'],73
588,['Warsaw Lyceum'],73
589,['flute and violin'],73
590,['piano'],73
591,['six months'],73
592,['French'],73
593,['flute and violin'],73
594,['piano'],73
595,['Saxon Palace.'],73
596,['Ludwika'],74
597,['a polonaise in A-flat major of 1821'],74
598,['Wojciech Żywny'],74
599,['7'],74
600,['1817'],74
601,['1816 to 1821'],74
602,['7'],74
603,['Wojciech Żywny'],74
604,['1817'],75
605,['Belweder Palace'],75
606,['1817'],75
607,['Grand Duke Constantine'],75
608,['a march'],75
609,['Julian Ursyn Niemcewicz'],75
610,['Belweder Palace'],75
611,['Grand Duke Constantine'],75
612,['a march'],75
613,['Julian Ursyn Niemcewicz'],75
614,['1823 to 1826'],76
615,['eolomelodicon'],76
616,['Józef Elsner'],76
617,['diamond ring'],76
618,['Rondo Op. 1'],76
619,['Józef Elsner'],76
620,['eolomelodicon'],76
621,['a diamond ring.'],76
622,['Rondo Op. 1.'],76
623,['Dominik Dziewanowski'],77
624,['Szafarnia'],77
625,['his family'],77
626,['Warsaw newspapers'],77
627,['Dominik Dziewanowski'],77
628,['Dominik Dziewanowski'],77
629,['The Szafarnia Courier'],77
630,['1827'],78
631,['Krakowskie Przedmieście'],78
632,['1830'],78
633,['1827'],78
634,['boarding house for male students'],78
635,['Ambroży Mieroszewski'],78
636,['sister Emilia'],78
637,['1830'],78
638,['Chopin Family Parlour'],78
639,['Ambroży Mieroszewski'],78
640,['Jan Matuszyński and Julian Fontana'],79
641,['Konstancja Gładkowska'],79
642,['Konstancja Gładkowska'],79
643,['Jan Matuszyński and Julian Fontana'],79
644,['Konstancja Gładkowska'],79
645,['Tytus Woyciechowski'],79
646,['Piano Concerto No. 1 (in E minor)'],79
647,['Four'],79
648,['Feliks Jarocki'],80
649,['September 1828'],80
650,['Feliks Jarocki'],80
651,['Gaspare Spontini'],80
652,['Prince Antoni Radziwiłł'],80
653,['1828'],80
654,['Feliks Jarocki'],80
655,['zoologist'],80
656,['August'],81
657,['two'],81
658,['17 March 1830'],81
659,['September 1829'],81
660,['accustomed to the piano-bashing of local artists'],81
661,['Niccolò Paganini'],81
662,['Vienna'],81
663,['two'],81
664,['three'],81
665,['2 November 1830'],82
666,['Austria'],82
667,['1830'],82
668,['Zdzisław Jachimecki'],82
669,['Woyciechowski'],82
670,['the November 1830 Uprising'],82
671,['western Europe'],82
672,['Woyciechowski'],82
673,['1830'],82
674,['1831'],82
675,['the Polish Great Emigration'],83
676,['1835'],83
677,['friends and confidants'],83
678,['September 1831'],83
679,['Polish Great Emigration'],83
680,['1835'],83
681,['Adam Zamoyski'],83
682,['Poland'],83
683,['France'],83
684,['Polish Great Emigration'],83
685,['Paris'],84
686,"['Hector Berlioz, Franz Liszt, Ferdinand Hiller, Heinrich Heine, Eugène Delacroix, and Alfred de Vigny']",84
687,['Adam Mickiewicz'],84
688,['Julian Fontana'],85
689,['Albert Grzymała'],85
690,['elder brother'],85
691,['Julian Fontana'],85
692,['England'],85
693,['Albert Grzymała'],85
694,['Albert Grzymała'],85
695,['Julian Fontana'],85
696,['Warsaw Conservatory'],85
697,['Robert Schumann'],86
698,['his father'],86
699,['Robert Schumann'],86
700,['26 February 1832'],86
701,['Rothschild'],86
702,['1831'],86
703,['keyboard technique'],86
704,['pianos'],87
705,['Maurice Schlesinger'],87
706,['Adolphe Gutmann'],87
707,['apartment'],87
708,['Liszt and Hiller'],87
709,['Felix Mendelssohn'],88
710,['playing and discussing music'],88
711,['Friedrich Wilhelm Schadow'],88
712,['Carlsbad'],88
713,['the Lower Rhenish Music Festival'],88
714,['Hiller'],88
715,['Carlsbad'],88
716,['July 1836'],88
717,['Felix Mendelssohn'],88
718,['Düsseldorf'],88
719,['Maria'],88
720,['Woyciechowski'],89
721,"['Herz, Liszt, Hiller']",89
722,['Liszt'],89
723,['26 February 1832'],89
724,['Woyciechowski'],89
725,['the Salle Pleyel'],89
726,"[""38 Rue de la Chaussée-d'Antin""]",90
727,['a few blocks'],90
728,['seven'],90
729,['Harriet Smithson'],90
730,['Salle Pleyel and the Paris Conservatory'],90
731,['2 April 1833'],90
732,['the Beethoven Memorial in Bonn'],90
733,['Salle Pleyel and the Paris Conservatory'],90
734,['the Hôtel de France on the Rue Lafitte'],90
735,['seven'],90
736,['love-hate relationship'],91
737,"['theatricality, showmanship and success']",91
738,['an apology'],91
739,['my friend Liszt'],91
740,['Op. 10 Études'],91
741,"[""Marie d'Agoult""]",91
742,['Liszt'],91
743,['Liszt'],91
744,"[""Marie d'Agoult""]",91
745,['Hiller'],91
746,"[""Marie d'Agoult""]",92
747,['My tragedy'],92
748,['Grzymała'],92
749,['his poor health'],92
750,['My tragedy'],92
751,"[""Marie d'Agoult""]",92
752,['1837'],92
753,['My tragedy'],92
754,['Grzymała'],92
755,['London'],93
756,['miserable'],93
757,['Valldemossa'],93
758,['piano maker'],93
759,['Félicien Mallefille'],93
760,['a former Carthusian monastery'],93
761,['June 1838'],93
762,['Majorca'],93
763,"[""Sand's two children""]",93
764,['a former Carthusian monastery'],93
765,['December'],94
766,['his bad health'],94
767,['December'],94
768,['bad weather'],95
769,['Canuts'],95
770,['Marseilles'],95
771,['Nohant'],95
772,"[""Square d'Orléans""]",95
773,['the Canuts'],95
774,['Marseilles'],95
775,['Nohant'],95
776,['5 rue Tronchet'],95
777,"[""Square d'Orléans""]",95
778,['the Canuts.'],95
779,['Marseilles'],95
780,"[""Square d'Orléans""]",95
781,['Nohant'],95
782,['tenth'],96
783,['Adolphe Nourrit'],96
784,['organ'],96
785,"[""Franz Schubert's lied Die Gestirne""]",96
786,"[""Franz Schubert's lied Die Gestirne.""]",96
787,['the July Revolution.'],96
788,['piano technique and composition'],97
789,['Delacroix and the mezzo-soprano Pauline Viardot'],97
790,['piano technique and composition.'],97
791,['Delacroix'],97
792,['1842'],98
793,['Grzymała'],98
794,"[""Beethoven Seventh Symphony arrangement at Erard's""]",98
795,['temporal lobe epilepsy'],98
796,['1842'],98
797,['Beethoven Seventh Symphony arrangement'],98
798,['temporal lobe epilepsy'],98
799,['mouth and tonsils'],98
800,['Alkan'],98
801,['temporal lobe epilepsy.'],98
802,['radical political pursuits'],99
803,['third child'],99
804,['1847'],99
805,['Lucrezia Floriani'],99
806,['Auguste Clésinger.'],99
807,['nurse'],99
808,['Lucrezia Floriani'],99
809,['1847'],99
810,['a dozen'],100
811,['six'],100
812,['Op. 58 sonata'],100
813,['six shorter pieces'],100
814,['three mazurkas'],100
815,['February 1848'],101
816,['February 1848'],101
817,['Auguste Franchomme'],101
818,['struggle financially.'],101
819,['BBC'],102
820,['Angelo Bozzolini and Roberto Prosseda'],102
821,['The Women Behind The Music'],102
822,['BBC'],102
823,['Angelo Bozzolini and Roberto Prosseda'],102
824,['A Song to Remember'],103
825,['1928'],103
826,['Hugh Grant'],103
827,['George Sand'],103
828,['A Song to Remember'],103
829,['Cornel Wilde'],103
830,['Pierre Blanchar'],103
831,['1901'],104
832,['Milan'],104
833,['Giacomo Orefice'],104
834,['opera'],104
835,['Giacomo Orefice'],104
836,['Milan'],104
837,['sonnet'],105
838,['sonnet on Chopin by Leon Ulrich'],105
839,['1830'],105
840,['English'],105
841,['every five years.'],106
842,['Grand prix du disque de F. Chopin'],106
843,['The New York Times'],106
844,['every five years.'],106
845,['The New York Times'],106
846,['1895'],107
847,['Paul Pabst'],107
848,['The British Library'],107
849,['1895'],107
850,['Methuen-Campbell'],107
851,['1927'],108
852,['Warsaw'],108
853,['every five years'],108
854,['the International Chopin Piano Competition'],108
855,['1927'],108
856,['The Fryderyk Chopin Institute of Poland'],108
857,"['nearly 1,500']",108
858,['Chopiniana'],109
859,['Michel Fokine'],109
860,['Les Sylphides'],109
861,['Alexander Glazunov'],109
862,['Chopiniana'],109
863,['Michel Fokine'],109
864,['Les Sylphides.'],109
865,['London'],110
866,['Jane Stirling'],110
867,['London'],110
868,['Jane Stirling'],110
869,['Broadwood'],111
870,['Queen Victoria and Prince Albert'],111
871,['7 July'],111
872,['a grand piano.'],111
873,['Queen Victoria and Prince Albert.'],111
874,['piano lessons'],111
875,['Scotland'],112
876,['Adam Łyszczyński'],112
877,['Scotland'],112
878,['Glasgow'],112
879,['will'],112
880,['Guildhall'],113
881,['Polish refugees.'],113
882,"[""London's Guildhall""]",113
883,['Delfina Potocka'],114
884,['November'],114
885,['Delfina Potocka'],114
886,['Chaillot'],114
887,['Princess Obreskoff.'],114
888,['June 1849'],114
889,['June 1849'],115
890,['his sister'],115
891,['her husband and daughter'],115
892,['Jane Stirling'],115
893,['fear of being buried alive'],116
894,"['""No longer""']",116
895,['Clésinger'],116
896,['fear of being buried alive'],116
897,['tuberculosis'],117
898,['DNA testing'],117
899,['Jean Cruveilhier'],117
900,['cystic fibrosis'],117
901,['Church of the Madeleine'],118
902,['two weeks'],118
903,"['Over 3,000']",118
904,"[""Mozart's Requiem""]",119
905,['Louis Lefébure-Wély'],119
906,['Prince Adam Czartoryski'],119
907,"[""Funeral March from Chopin's Piano Sonata No. 2""]",119
908,"[""Mozart's Requiem""]",119
909,['Père Lachaise Cemetery'],119
910,['Prince Adam Czartoryski'],119
911,"[""the Funeral March from Chopin's Piano Sonata No. 2""]",119
912,['Clésinger'],120
913,['Euterpe'],120
914,"['5,000 francs']",120
915,['alcohol'],120
916,"['5,000 francs']",120
917,['sister'],120
918,['Sand'],120
919,['piano'],121
920,['chamber music.'],121
921,['Clementi'],122
922,['Clementi'],122
923,['Bach and Mozart'],122
924,['Haydn'],122
925,['John Field'],123
926,['nocturne'],123
927,['ballades and scherzi'],123
928,['concert étude'],123
929,"['Liszt, Clementi and Moscheles']",123
930,['seven'],124
931,['nine'],124
932,['faster tempos'],124
933,['greater range of melody and expression.'],124
934,['the mazurka'],124
935,['nine'],124
936,['waltzes'],124
937,['Funeral March'],125
938,['Sonata No. 2'],125
939,['one'],125
940,['Revolutionary Étude'],125
941,['65'],126
942,['Julian Fontana'],126
943,['65'],126
944,['Julian Fontana'],126
945,['1857'],126
946,['1857'],127
947,['alternative catalogue designations'],127
948,['KK'],127
949,['Krystyna Kobylańska.'],127
950,['Breitkopf & Härtel'],128
951,['Jan Ekier'],128
952,['original publishers'],128
953,['popular 19th-century piano anthologies.'],128
954,['Paderewski'],128
955,['Jan Ekier'],128
956,['Improvisation'],129
957,['the four-bar phrase'],129
958,['Improvisation'],129
959,['Nicholas Temperley'],129
960,['the Barcarolle Op. 60'],130
961,['departure and return'],130
962,"['straightforward ternary or episodic form, sometimes with a coda.']",131
963,['mazurkas'],131
964,['drone bass'],131
965,['triple time'],132
966,['agitated expression'],133
967,['1833'],133
968,['nocturnes'],133
969,['études'],134
970,['straightforward ternary'],134
971,['The Well-Tempered Clavier'],135
972,['Kenneth Hamilton'],135
973,['The preludes'],135
974,"[""J.S. Bach's The Well-Tempered Clavier""]",135
975,['generic preludes to others of his pieces'],135
976,['Ferruccio Busoni'],135
977,['four'],136
978,['The last movement'],136
979,['Op. 58'],136
980,['Claude Debussy'],137
981,['his Projet de méthode'],138
982,['Karol Szymanowski'],139
983,['national modes and idioms'],139
984,['Nikolai Zverev'],139
985,['Karol Szymanowski'],139
986,['Alexander Scriabin'],139
987,['Jonathan Bellman'],140
988,['rigid procedures'],140
989,"['""always crescendo to a high note""']",140
990,['hearing in them all the most beautiful things of art'],140
991,['Berlioz'],140
992,['the practice in performance of disregarding strict time'],141
993,['mazurkas'],141
994,['1836'],142
995,['the failure of the November 1830'],142
996,['flowers'],142
997,['Carolyne zu Sayn-Wittgenstein'],142
998,['Barbara Milewski'],143
999,['Michał Kleofas Ogiński and Franciszek Lessel'],143
1000,['Richard Taruskin'],143
1001,['freedom'],144
1002,['Europe and the New World'],144
1003,['Byronic flamboyance'],145
1004,['Liszt and Henri Herz'],145
1005,['Paris'],145
1006,['Arthur Hutchings'],145
1007,['six'],146
1008,['qualities as a pianist and composer'],146
1009,['Carnaval'],146
1010,['Ballade No. 2 in F major'],146
1011,['Liszt'],146
1012,['Jacques Durand'],147
1013,"[""Chopin's""]",147
1014,['Mainland Chinese scholars'],148
1015,['horse trade'],149
1016,['Deshin Shekpa'],149
1017,['the Karma Kagyu school'],149
1018,['armed resistance'],150
1019,['the 9th century'],151
